CourseId,Review,Label
2-speed-it,"Great course - I recommend it for all, especially IT and Business Managers!",5
2-speed-it,One of the most useful course on IT Management!,5
2-speed-it,"I was disappointed because the name is misleading. The course provides a good introduction & overview of the responsibilities of the CTO, but has very little specifically digital content. It deals with two-speed IT in a single short lecture, so of course the treatment is superficial. It is easy to find more in-depth material freely available, on the McKinsey website for example.",3
2-speed-it,Super content. I'll definitely re-do the course,5
2-speed-it,One of the excellent courses at Coursera for information technology bosses and managers.,5
2-speed-it,"Is there any reason why you should not apply the course by BCG?)It's content is pretty unique and includes a high level analysis and a wide range of knowledge needed to cover all detailed aspects.Best regards,Oleg Serov",5
2-speed-it,Excellent course and teachers. Congratulations!!,5
2-speed-it,This is a good course for an CIO in a non technical company.,5
2-speed-it,"Good content, but the course setting does (at least for me) not allow learn the content long term due to missing reading material.",3
2-speed-it,Very structured approach. Thank you for sharing with me.,5
2-speed-it,"Program demystifies the evolving world of CIOs in a typical global corporation.Coverage being introductory familiarizes participants nicely through some of the nuances & emerging trends.When I took the course participant numbers was fewer, so feedback was quite delayed. So one should plan to be patient to get their peer reviews.Based on peer reviews i sensed much variations in their expectations.Few sections are in French with Subtitles.Subtitle quality requires audit/review.",4
2-speed-it,Very relevant and useful course designed for CIOs,5
2-speed-it,This course does not say anything about digitization which is the core subject of the digital wave.,2
2-speed-it,Videos that are presented in French could've been translated to English.,4
2-speed-it,"The course content is quite good, though it could have been deeper in some areas.But its peer review system is not working well, if at all.Regards, An Le.",3
2-speed-it,"Great piece of work, I especially liked a few 'lifehacks' for the CIO",5
2-speed-it,"Excellent course, for me it was very rewarding and the terms used and the tools given were excellent, and today and I put in use in my job, Thank you for inculcating knowledge and move on",5
2-speed-it,"Excellent... It is a representation of our day by day, thanks for sharing your vision, experience and advices...RegardsDaniel Damas",4
2-speed-it,Very interesting and well-designed MOOC !,5
20cnwm,good and interesting,5
20cnwm,"This class is very helpful to me. Currently, I'm still learning this class which makes up a lot of basic music knowledge.",5
2d-cad,"Well-presented contents with comprehensive illustrations and easy to follow, cover in proper order every aspect of drawing and AutoCAD. Would appreciate if the English subtitle is available in the whole course, so more students could access to these handy lectures and exercises.",5
2d-cad,Very Basic course for learners without Autocad experiences.,5
2d-cad,Good quality.,5
3d-cad,like!Prof and TAs are helpful and the discussion among students are quite active. Very rewarding learning experience!,5
3d-cad,Easy to follow and includes a lot basic and important techniques to use sketchup.,5
3d-cad,Really nice teacher!I could got the point eazliy but the v,4
3d-printing,Thanks.,5
3d-printing-applications,Excellent overview of the ways in which 3D printing is in use and how it may be used in the future.,5
3d-printing-applications,Very well documented course.Assignments are designed such a way that it stimulates you to think out of box.,5
3d-printing-applications,Very Good Informative Course.!!,5
3d-printing-applications,Excellent course. I completely enjoyed it. Thank you Vishal and team.,5
3d-printing-applications,It opened up my understanding of what could be accomplished with 3D printing,5
3d-printing-applications,"Important information on copy rights, patents, etc.",4
3d-printing-applications,"Progress is in a state of flux, so one must reach out to the best in academia on any particular subject to get a realistic update of technology. This course will help you catch up to design thinking and doing. Get it and do it.",5
3d-printing-applications,A really challenging and enriching course about the amazing world of 3D Printing. In this course you will discover the unimaginable amount of applications that 3D Printing offers and will open your mind in ways you didn't think possible!,5
3d-printing-applications,"This is a really good survey class in the potential of 3d printing, with examples of how individuals can empower themselves and others without the obstacles of traditional tooling, with a relatively short learning curve and low investment. It also demonstrates the ways in which, now and increasingly in the future, we'll all be capable of designing the solutions to our own problems with increasing agility!The only thing that could make it better would be to have more design challenges!Thanks!",5
3d-printing-applications,"Excellent course , enjoyed learning :)",5
3d-printing-applications,Great course and very informative.,5
